31027,مدرسة الخليل مصطفي,الشرقية,12,طبرق,الأولى,1,1,طبرق,الجهاد,طبرق,عام,23.94713,32.075309,
31010,مدرسة فاطمة الزهراء,الشرقية,12,طبرق,الأولى,1,1,طبرق,المدينة,طبرق,عام,23.944466,32.086507,
31009,مدرسة عمر المختار,الشرقية,12,طبرق,الأولى,1,1,طبرق,المدينة,طبرق,عام,23.944429,32.082104,
31028,مدرسة الفاروق,الشرقية,12,طبرق,الأولى,1,1,طبرق,الجهاد,طبرق,عام,23.93957778,32.06981944,
31026,مدرسة الحرية,الشرقية,12,طبرق,الأولى,1,1,طبرق,الجهاد,طبرق,عام,23.933317,32.071929,
31034,مدرسة النسور,الشرقية,12,طبرق,الأولى,1,1,طبرق,عمر المختار,طبرق,عام,23.922982,31.879219,
31007,مدرسة الزهور,الشرقية,12,طبرق,الأولى,1,1,طبرق,المدينة,طبرق,عام,23.919203,32.076824,
22069,الانتصار للتعليم الاساسى,الجنوبية,10,اوباري,السابعة,7,24,اوباري,الحمراء,الحمراء,عام,,,N
31033,مدرسة عمر المختار الثانوية,الشرقية,12,طبرق,الأولى,1,1,طبرق,عمر المختار,طبرق,عام,23.917625,31.887475,
13106,فجر الحرية,الغربية,3,الخمس,العاشرة,10,52,الخمس الساحل,سيدي خليفة,الخمس,عام,,,N
31006,مدرسة القدس,الشرقية,12,طبرق,الأولى,1,1,طبرق,المدينة,طبرق,عام,23.910215,32.078413,
31050,مدرسة الشعبه,الشرقية,12,طبرق,الأولى,1,1,طبرق,الشعبة,طبرق,عام,23.877065,31.267008,
31005,مدرسة موسي اهويدي,الشرقية,12,طبرق,الأولى,1,1,طبرق,المدينة,طبرق,عام,23.827536,32.081578,
32004,أسماء للتعليم الأساسي,الشرقية,13,درنة,الأولى,1,2,القبة,القبة,القبة,عام,22.613993,32.7171,
32025,الصديق,الشرقية,13,درنة,الأولى,1,3,درنة,الجبيلة,درنة,عام,22.605525,32.765437,
32011,ادريس بوبنة,الشرقية,13,درنة,الأولى,1,2,القبة,القيقب,القبة,عام,22.605525,32.765437,
32028,شهداء الجمعة,الشرقية,13,درنة,الأولى,1,3,درنة,المغار,درنة,عام,22.597462,32.735933,
32012,المجد,الشرقية,13,درنة,الأولى,1,2,القبة,القيقب,القبة,عام,22.597462,32.735933,
32007,عوض العبيدي,الشرقية,13,درنة,الأولى,1,2,القبة,لملودة,القبة,عام,22.544956,32.794465,
32016,مدرسة خالد ابن الوليد,الشرقية,13,درنة,الأولى,1,2,القبة,سيدي خالد,القبة,عام,22.421699,32.846849,
32032,فتحي الطيرة,الشرقية,13,درنة,الأولى,1,3,درنة,بومنصور,درنة,عام,22.279236,32.865561,
32045,الأثرون,الشرقية,13,درنة,الأولى,1,3,درنة,الأثرون,درنة,عام,22.279236,32.865561,
31008,مدرسة اسامة بن زيد,الشرقية,12,طبرق,الأولى,1,1,طبرق,المدينة,طبرق,عام,22.244398,32.769595,
33002,سوسة الاساسية,الشرقية,14,البيضاء,التانية,2,4,شحات,سوسه,سوسه,عام,21.9592,32.8972,
33013,سليمان ادريس,الشرقية,14,البيضاء,التانية,2,4,شحات,أشنيشن,أشنيشن,عام,21.950313,32.654674,
33009,اقطيط موسى,الشرقية,14,البيضاء,التانية,2,4,شحات,الصفصاف,الصفصاف,عام,21.947313,32.779928,
33012,الجيل الجديد,الشرقية,14,البيضاء,التانية,2,4,شحات,بلقس,بلقس,عام,21.919871,32.640587,
33010,يوسف الجيلاني,الشرقية,14,البيضاء,التانية,2,4,شحات,قرنادة,قرنادة,عام,21.90438,32.735183,
33011,الانتصار,الشرقية,14,البيضاء,التانية,2,4,شحات,الفائدية الشمالية,الفائدية,عام,21.9011,32.6875,
33008,نوري اسباق,الشرقية,14,البيضاء,التانية,2,4,شحات,شحات الجديدة,شحات,عام,21.8731,32.7961,
18093,مدرسة عمر المختار,الغربية,8,الجبل 2,الثامنة,8,36,الرياينة,الغربية,الرياينة,عام,,,N
32035,الحرية,الشرقية,13,درنة,الأولى,1,3,درنة,بومنصور,درنة,عام,23.065915,32.438475,
32050,خليج البمبة,الشرقية,13,درنة,الأولى,1,3,درنة,البمبه,درنة,عام,23.065915,32.438475,
32034,الخلود,الشرقية,13,درنة,الأولى,1,3,درنة,بومنصور,درنة,عام,23.058953,32.337273,
32051,التميمي,الشرقية,13,درنة,الأولى,1,3,درنة,التميمى,درنة,عام,23.058953,32.337273,
32036,شهداء الزنتان,الشرقية,13,درنة,الأولى,1,3,درنة,بومنصور,درنة,عام,23.012113,32.539324,
32046,الحي الجديد,الشرقية,13,درنة,الأولى,1,3,درنة,أم الرزم,درنة,عام,23.012113,32.539324,
32026,الشلال,الشرقية,13,درنة,الأولى,1,3,درنة,المغار,درنة,عام,23.004682,32.53129,
32047,عمر المختار,الشرقية,13,درنة,الأولى,1,3,درنة,أم الرزم,درنة,عام,23.004682,32.53129,
32039,مدرسة الأمل,الشرقية,13,درنة,الأولى,1,3,درنة,الساحل الشرقى,درنة,عام,22.767305,32.597729,
32043,الاحرار,الشرقية,13,درنة,الأولى,1,3,درنة,مرتوبة,درنة,عام,22.767305,32.597729,
32038,مفتاح الماجري,الشرقية,13,درنة,الأولى,1,3,درنة,الساحل الشرقى,درنة,عام,22.762145,32.573275,
32044,شهداء القرقف,الشرقية,13,درنة,الأولى,1,3,درنة,مرتوبة,درنة,عام,22.762145,32.573275,
32022,مدرسة سليمان خاطر,الشرقية,13,درنة,الأولى,1,3,درنة,الجبيلة,درنة,عام,22.680825,32.700427,
32021,النصر,الشرقية,13,درنة,الأولى,1,3,درنة,البلاد,درنة,عام,22.670987,32.747114,
32042,النصر والتحدي,الشرقية,13,درنة,الأولى,1,3,درنة,كرسة,درنة,عام,22.670987,32.747114,
32052,العزيات الثانوية,الشرقية,13,درنة,الأولى,1,3,درنة,العزيات,درنة,عام,22.665547,32.254377,
33001,الفتح الاسلامي,الشرقية,14,البيضاء,التانية,2,4,شحات,سوسه,سوسه,عام,22.66043333,32.75073889,
22068,الفخفاخة الابتدائية والاعدادية,الجنوبية,10,اوباري,السابعة,7,24,اوباري,الفخفاخة,الفخفاخة,عام,,,N
22070,الحرية للتعليم الاساسى,الجنوبية,10,اوباري,السابعة,7,24,اوباري,القلعة الزوية,القلعة الزوية,عام,,,N
34178,اشبيليا,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الكيش,الكيش,عام,,,NN
11089,حسن ابن الهيثم,الغربية,1,سرت,الخامسة,5,20,سرت,المعزول,الوشكة,عام,,,N
32015,راس الهلال,الشرقية,13,درنة,الأولى,1,2,القبة,رأس الهلال,القبة,عام,22.66043333,32.75073889,
32002,الإخلاص,الشرقية,13,درنة,الأولى,1,2,القبة,القبة,القبة,عام,22.656188,32.747933,
32008,الفضيل بوعمر,الشرقية,13,درنة,الأولى,1,2,القبة,الدبوسية,القبة,عام,22.650011,32.763348,
32005,أفريقيا للتعليم الثانوي,الشرقية,13,درنة,الأولى,1,2,القبة,القبة,القبة,عام,22.646534,32.759604,
32017,شهداء الخرص,الشرقية,13,درنة,الأولى,1,2,القبة,عين مارة,القبة,عام,22.644211,32.750854,
32001,الكرامة,الشرقية,13,درنة,الأولى,1,2,القبة,القبة,القبة,عام,22.643382,32.760723,
32006,بيت ثامر,الشرقية,13,درنة,الأولى,1,2,القبة,بيت ثامر,القبة,عام,22.642392,32.75661,
32009,التقدم,الشرقية,13,درنة,الأولى,1,2,القبة,الأبرق,القبة,عام,22.642083,32.7672,
32010,الابرق الأساسية,الشرقية,13,درنة,الأولى,1,2,القبة,الأبرق,القبة,عام,22.64189,32.77309,
32018,عين مارة,الشرقية,13,درنة,الأولى,1,2,القبة,عين مارة,القبة,عام,22.638432,32.751118,
32003,إبراهيم بكار,الشرقية,13,درنة,الأولى,1,2,القبة,القبة,القبة,عام,22.638196,32.759553,
31019,مدرسة علي حسن الجابر,الشرقية,12,طبرق,الأولى,1,1,طبرق,المدينة,طبرق,عام,22.638196,32.759553,
32013,ترت,الشرقية,13,درنة,الأولى,1,2,القبة,ترت,القبة,عام,22.631486,32.771666,
32030,الضياء,الشرقية,13,درنة,الأولى,1,3,درنة,المغار,درنة,عام,22.630655,32.76462,
32020,المخيلي,الشرقية,13,درنة,الأولى,1,2,القبة,المخيلى,القبة,عام,22.630655,32.76462,
32029,روضة الزهور,الشرقية,13,درنة,الأولى,1,3,درنة,المغار,درنة,عام,22.625907,32.759792,
32014,شهداء المحجة,الشرقية,13,درنة,الأولى,1,2,القبة,خولان,القبة,عام,22.625907,32.759792,
32031,أم المؤمنين,الشرقية,13,درنة,الأولى,1,3,درنة,المغار,درنة,عام,22.614596,32.766306,
32019,طارق بن زياد,الشرقية,13,درنة,الأولى,1,2,القبة,لالى,القبة,عام,22.614596,32.766306,
33095,شهداء زاوية العرقوب,الشرقية,14,البيضاء,التانية,2,7,قصر ليبيا,زاوية العرقوب,زاوية العرقوب,عام,21.472894,32.627362,
11096,القدس,الغربية,1,سرت,الخامسة,5,19,السدرة,بن جواد,بن جواد,عام,,,N
33007,زيد بن ثابت,الشرقية,14,البيضاء,التانية,2,4,شحات,شحات الجديدة,شحات,عام,21.8717,32.8081,
33006,الشهيد الميار,الشرقية,14,البيضاء,التانية,2,4,شحات,شحات الجديدة,شحات,عام,21.8689,32.8081,
