candidate 113 votes included quarantine,ballot number,stations,stations completed,stations percent completed,candidate 1 name,candidate 1 votes,candidate 1 votes included quarantine,candidate 2 name,candidate 2 votes,candidate 2 votes included quarantine,candidate 3 name,candidate 3 votes,candidate 3 votes included quarantine,candidate 4 name,candidate 4 votes,candidate 4 votes included quarantine,candidate 5 name,candidate 5 votes,candidate 5 votes included quarantine,candidate 6 name,candidate 6 votes,candidate 6 votes included quarantine,candidate 7 name,candidate 7 votes,candidate 7 votes included quarantine,candidate 8 name,candidate 8 votes,candidate 8 votes included quarantine,candidate 9 name,candidate 9 votes,candidate 9 votes included quarantine,candidate 10 name,candidate 10 votes,candidate 10 votes included quarantine,candidate 11 name,candidate 11 votes,candidate 11 votes included quarantine,candidate 12 name,candidate 12 votes,candidate 12 votes included quarantine,candidate 13 name,candidate 13 votes,candidate 13 votes included quarantine,candidate 14 name,candidate 14 votes,candidate 14 votes included quarantine,candidate 15 name,candidate 15 votes,candidate 15 votes included quarantine,candidate 16 name,candidate 16 votes,candidate 16 votes included quarantine,candidate 17 name,candidate 17 votes,candidate 17 votes included quarantine,candidate 18 name,candidate 18 votes,candidate 18 votes included quarantine,candidate 19 name,candidate 19 votes,candidate 19 votes included quarantine,candidate 20 name,candidate 20 votes,candidate 20 votes included quarantine,candidate 21 name,candidate 21 votes,candidate 21 votes included quarantine,candidate 22 name,candidate 22 votes,candidate 22 votes included quarantine,candidate 23 name,candidate 23 votes,candidate 23 votes included quarantine,candidate 24 name,candidate 24 votes,candidate 24 votes included quarantine,candidate 25 name,candidate 25 votes,candidate 25 votes included quarantine,candidate 26 name,candidate 26 votes,candidate 26 votes included quarantine,candidate 27 name,candidate 27 votes,candidate 27 votes included quarantine,candidate 28 name,candidate 28 votes,candidate 28 votes included quarantine,candidate 29 name,candidate 29 votes,candidate 29 votes included quarantine,candidate 30 name,candidate 30 votes,candidate 30 votes included quarantine,candidate 31 name,candidate 31 votes,candidate 31 votes included quarantine,candidate 32 name,candidate 32 votes,candidate 32 votes included quarantine,candidate 33 name,candidate 33 votes,candidate 33 votes included quarantine,candidate 34 name,candidate 34 votes,candidate 34 votes included quarantine,candidate 35 name,candidate 35 votes,candidate 35 votes included quarantine,candidate 36 name,candidate 36 votes,candidate 36 votes included quarantine,candidate 37 name,candidate 37 votes,candidate 37 votes included quarantine,candidate 38 name,candidate 38 votes,candidate 38 votes included quarantine,candidate 39 name,candidate 39 votes,candidate 39 votes included quarantine,candidate 40 name,candidate 40 votes,candidate 40 votes included quarantine,candidate 41 name,candidate 41 votes,candidate 41 votes included quarantine,candidate 42 name,candidate 42 votes,candidate 42 votes included quarantine,candidate 43 name,candidate 43 votes,candidate 43 votes included quarantine,candidate 44 name,candidate 44 votes,candidate 44 votes included quarantine,candidate 45 name,candidate 45 votes,candidate 45 votes included quarantine,candidate 46 name,candidate 46 votes,candidate 46 votes included quarantine,candidate 47 name,candidate 47 votes,candidate 47 votes included quarantine,candidate 48 name,candidate 48 votes,candidate 48 votes included quarantine,candidate 49 name,candidate 49 votes,candidate 49 votes included quarantine,candidate 50 name,candidate 50 votes,candidate 50 votes included quarantine,candidate 51 name,candidate 51 votes,candidate 51 votes included quarantine,candidate 52 name,candidate 52 votes,candidate 52 votes included quarantine,candidate 53 name,candidate 53 votes,candidate 53 votes included quarantine,candidate 54 name,candidate 54 votes,candidate 54 votes included quarantine,candidate 55 name,candidate 55 votes,candidate 55 votes included quarantine,candidate 56 name,candidate 56 votes,candidate 56 votes included quarantine,candidate 57 name,candidate 57 votes,candidate 57 votes included quarantine,candidate 58 name,candidate 58 votes,candidate 58 votes included quarantine,candidate 59 name,candidate 59 votes,candidate 59 votes included quarantine,candidate 60 name,candidate 60 votes,candidate 60 votes included quarantine,candidate 61 name,candidate 61 votes,candidate 61 votes included quarantine,candidate 62 name,candidate 62 votes,candidate 62 votes included quarantine,candidate 63 name,candidate 63 votes,candidate 63 votes included quarantine,candidate 64 name,candidate 64 votes,candidate 64 votes included quarantine,candidate 65 name,candidate 65 votes,candidate 65 votes included quarantine,candidate 66 name,candidate 66 votes,candidate 66 votes included quarantine,candidate 67 name,candidate 67 votes,candidate 67 votes included quarantine,candidate 68 name,candidate 68 votes,candidate 68 votes included quarantine,candidate 69 name,candidate 69 votes,candidate 69 votes included quarantine,candidate 70 name,candidate 70 votes,candidate 70 votes included quarantine,candidate 71 name,candidate 71 votes,candidate 71 votes included quarantine,candidate 72 name,candidate 72 votes,candidate 72 votes included quarantine,candidate 73 name,candidate 73 votes,candidate 73 votes included quarantine,candidate 74 name,candidate 74 votes,candidate 74 votes included quarantine,candidate 75 name,candidate 75 votes,candidate 75 votes included quarantine,candidate 76 name,candidate 76 votes,candidate 76 votes included quarantine,candidate 77 name,candidate 77 votes,candidate 77 votes included quarantine,candidate 78 name,candidate 78 votes,candidate 78 votes included quarantine,candidate 79 name,candidate 79 votes,candidate 79 votes included quarantine,candidate 80 name,candidate 80 votes,candidate 80 votes included quarantine,candidate 81 name,candidate 81 votes,candidate 81 votes included quarantine,candidate 82 name,candidate 82 votes,candidate 82 votes included quarantine,candidate 83 name,candidate 83 votes,candidate 83 votes included quarantine,candidate 84 name,candidate 84 votes,candidate 84 votes included quarantine,candidate 85 name,candidate 85 votes,candidate 85 votes included quarantine,candidate 86 name,candidate 86 votes,candidate 86 votes included quarantine,candidate 87 name,candidate 87 votes,candidate 87 votes included quarantine,candidate 88 name,candidate 88 votes,candidate 88 votes included quarantine,candidate 89 name,candidate 89 votes,candidate 89 votes included quarantine,candidate 90 name,candidate 90 votes,candidate 90 votes included quarantine,candidate 91 name,candidate 91 votes,candidate 91 votes included quarantine,candidate 92 name,candidate 92 votes,candidate 92 votes included quarantine,candidate 93 name,candidate 93 votes,candidate 93 votes included quarantine,candidate 94 name,candidate 94 votes,candidate 94 votes included quarantine,candidate 95 name,candidate 95 votes,candidate 95 votes included quarantine,candidate 96 name,candidate 96 votes,candidate 96 votes included quarantine,candidate 97 name,candidate 97 votes,candidate 97 votes included quarantine,candidate 98 name,candidate 98 votes,candidate 98 votes included quarantine,candidate 99 name,candidate 99 votes,candidate 99 votes included quarantine,candidate 100 name,candidate 100 votes,candidate 100 votes included quarantine,candidate 101 name,candidate 101 votes,candidate 101 votes included quarantine,candidate 102 name,candidate 102 votes,candidate 102 votes included quarantine,candidate 103 name,candidate 103 votes,candidate 103 votes included quarantine,candidate 104 name,candidate 104 votes,candidate 104 votes included quarantine,candidate 105 name,candidate 105 votes,candidate 105 votes included quarantine,candidate 106 name,candidate 106 votes,candidate 106 votes included quarantine,candidate 107 name,candidate 107 votes,candidate 107 votes included quarantine,candidate 108 name,candidate 108 votes,candidate 108 votes included quarantine,candidate 109 name,candidate 109 votes,candidate 109 votes included quarantine,candidate 110 name,candidate 110 votes,candidate 110 votes included quarantine,candidate 111 name,candidate 111 votes,candidate 111 votes included quarantine,candidate 112 name,candidate 112 votes,candidate 112 votes included quarantine,candidate 113 name,candidate 113 votes
,23,114,0,0.0,عبدالغني حسن ميلاد تومي,0,0,ناصر ابوالعيد علي سالم ابوستة,0,0,احمد عمار سالم عمار,0,0,عبدالله محمد عبدالله نصر لحنيش,0,0,السنوسي علي العجيلي احمودة,0,0,محمود فرج علي عمر,0,0,مفتاح عيسى ابوبكر محمد الكرتيحي,0,0,محمد ابوبكر علي حسن دبيلة,0,0,علي خيرالدين الصيد امحمد عمر,0,0,ابوصلاح عبدالسلام ابوصلاح شلبي,0,0,احمد الحاج علي امبية,0,0,رياض سالم امحمد سليمان مرعى,0,0,عبدالحميد محمد الصديق عبدالقادر احمد,0,0,حامد عبدالسلام عبدالله البغدادى,0,0,المهدي بشير محمد المهدي الشريف,0,0,ناجي علي امحمد علي,0,0,عبدالمجيد محمد محمد اشعيوي,0,0,عمر جمعة سلطان ابراهيم احنيش,0,0,ابراهيم مشرى محمد بشير,0,0,محمد دروخ ناجم عبدالله وريق,0,0,علاءالدين حسن سعد حسن المبروك,0,0,رجب عبدالسلام سالم امبارك,0,0,عمر محمد عمر اكديويش,0,0,اسعد حسين محمد بلبان,0,0,سالم علي الهاشمي منه,0,0,حسن علي محمد الخازمي,0,0,خالد القدري عبدالقادر امريمي,0,0,علي السائح سعد الاحيمر,0,0,عبدالله علي عبدالله احمد,0,0,عبدالله فرحات عبدالله المغربي,0,0,الزروق خليفة الزروق مصباح ابوجناح,0,0,رافع موسى سعد بحرى,0,0,الهادي علي محمد الصغير,0,0,ابوالقاسم علي محمد محمود,0,0,عيسى عبدالجليل ابوبكر ابوجناح,0,0,عبدالقادر ابراهيم منصور منصور,0,0,ابوبكر محمد المختار اعويدات,0,0,اسماعيل ابراهيم احمد خليفة,0,0,محمد ادياب محمد جديرية,0,0,محمد عبدالله علي عبدالكريم,0,0,محمد حامد الازهري علي الهمالي,0,0,محمد احمد عيسى السرحاني,0,0,عمر عبدالله علي عيسى,0,0,عبدالمنعم سالم سعد قراد,0,0,محمد السائح عبدالحفيظ عيسى ابوكم,0,0,ابراهيم ابوالقاسم محمد الاصفر,0,0,سالم علي المهدي سالم عبدالله,0,0,احمد ابوبكر ماتكو نينو,0,0,زكريا عبدالقادر امحمد صمبه,0,0,سالم احمد ميهوب القطعي,0,0,جمعة فكرون احمد دخيل فكرون,0,0,اسامة علي احمد حسين,0,0,محمد علي موهوب محمد شهاب الدين,0,0,حاتم مصباح التومي ابوزيان,0,0,عادل محمد الكيلاني القاضي,0,0,ابوبكر محمد البلبالي احمد,0,0,سالم عبدالله سالم المجدولي,0,0,عبدالباسط احمد ابوبكر شعشوع,0,0,حسن محمد سليم سالم,0,0,رجب مفتاح عمار جمعه عمار,0,0,يحى حسين محمد ساير,0,0,محمد السالم عبدالسلام محمد السالم عبدالله,0,0,محمود محمد علي الشنيني,0,0,ادريس ابوالقاسم عطاف محمد,0,0,محمد علي سالم المبروك محمد,0,0,محمد الصادق محمد البكوش,0,0,عبدالحكيم محمد عبدالقادر خلف الله,0,0,ايمن محمد احمد سالم السريتي,0,0,علي السعيدي سعد القائدي,0,0,الزروق مصباح محمد ابوجناح,0,0,المنتصر خليفة عبدالرحمن ابراهيم,0,0,حمزة القدافي مسعود سالم بقص,0,0,علي محمد امحمد ابوعزوم,0,0,محمد سالم علي التامزوي,0,0,ابوبكر عمر محمد ابوالقاسم اسماعيل,0,0,مسعود فرج مسعود ابوكليش,0,0,علي ابوبكر قاسم ابراهيم فضل,0,0,امحمد علي ابوالقاسم احمد,0,0,عمر محمد امحمد ابوخزام,0,0,انور احمد عمار جمعه عمار,0,0,علي بشير سعد ماضي,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,102,0,0.0,حسن ابوبكر عمر صالح,0,0,المهدي عبدالسلام المهدي الزوين,0,0,سمير يوسف الجيلاني الزروق,0,0,احمد محمد علي محمد الانصاري,0,0,سالم محمد محمد صالح السكالي,0,0,عبدالكبير مختار محمد صوله,0,0,صالح سليمان حيد محمد,0,0,زيدان الصديق محمد ابوسيف,0,0,عبدالنبي محمد احسين محفوظ دومه,0,0,يوسف عبدالهادي ابوبكر عبدالحفيظ,0,0,علي جبريل محمد جبريل,0,0,محي الدين عبدالقادر عبدالهادي صالح,0,0,معاد احمد عبدالرحمن محمد انصير,0,0,علي عبدالرزاق عبدالسلام العربي,0,0,علي محمد عون الله ابوبكر ابوهديمة,0,0,الامين عبدالكريم عبدالسلام عبدالكريم,0,0,عبدالقادر سالم عبدالسلام التحبو,0,0,شعبان محمد علي صالح,0,0,ابوسيف خليل محمد ابوسيف,0,0,عبدالحفيظ محمد عبدالحفيظ الصغير,0,0,محمد عبدالسلام محمد انداره,0,0,جمال بشير محمد الكنتي,0,0,عبدالله صالح صالح علي,0,0,عيسى علي الامين ادم,0,0,محمد الطاهر سليمان علي امبلو,0,0,ابراهيم الخليل عبدالسلام مسعود علي,0,0,عبدالسلام امحمد محمد اكريو,0,0,الامين عبدالحفيظ علي شنقلة,0,0,ابراهيم محمد كرنفودة احمد,0,0,مفتاح ابوالقاسم عبدالسلام ابو القاسم,0,0,عبدالجليل محمد عبدالجليل قجيرة,0,0,ابوستة المدني رجب شاكبه,0,0,امبارك احمد الخير امبارك,0,0,محمد بركة عبدالسلام رمضان احجيل,0,0,مسعود علي ابوصلاح الخير,0,0,خالد محمد تاج الدين محمد احمد,0,0,حسن محمد علي اغليان,0,0,سالم الامين عبدالقادر الامين,0,0,محمد احمد كولو لافي,0,0,احمد محمد ربوه ربوه,0,0,عبدالقادر حسن يحي سليمان,0,0,عادل احمد الصالحين عبدالرحيم,0,0,علي عبدالقادر محمد التواتي,0,0,موسى سليمان ساسي محمود,0,0,مسعود عبدالسلام غيث الخضر,0,0,عبدالسلام محمد عبدالسلام محمد علي,0,0,مفتاح ابراهيم الامين البكوش,0,0,حسين محمد احمد الانصاري,0,0,حسن محمد الشيبو محمد علي سعدالله,0,0,عيسى محمد عبدالله وردكو,0,0,محمد صالح محمد الشيخ,0,0,بلقاسم سالم عبدالواحد الصادق,0,0,عبدالرزاق حسن عبدالرزاق ابوصلاح,0,0,محمد الوافي محمد الشريف,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,42,0,0.0,عمر عبدالقادر ابوالقاسم السنوسي,0,0,الحبيب احمد حسن الحبيب,0,0,عمر ابراهيم ماخي عبدالقادر,0,0,نصر يوسف محمد الغرياني,0,0,محمد الصافي ابراهيم عبدالرحمن الانصاري,0,0,جمال محمد بابا عبدالكريم انفوني,0,0,محمد اشمد محمد اوتكه,0,0,عيسى بيلال كزركة زماكي,0,0,صالح همه محمد بكده,0,0,ابكدا محمد علي كلاله,0,0,نوري رمضان محمد ابو,0,0,محمد العربي حميدة العربي,0,0,عبدالرحيم احمد بابا محمد سيدي احمد,0,0,مصطفى ابوبكر مصطفى مصطفى بركة,0,0,اسماعيل كنيس علي زنقينه,0,0,علي موسى علي علي,0,0,رمزي علي منصور الثني,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,38,0,0.0,عبدالمحسن احمد المهدي مطر,0,0,صبحي الصالحين عبدالعالي يوسف,0,0,عائشة منصور المهدي الصديق,0,0,عبدالسلام الحاج حسن محمدين كرمي,0,0,عبدالوهاب محمد علي ابراهيم عبدالوهاب,0,0,محمد احمد محمد احمد حسن,0,0,عبدالرحمن محمد احمد الصالحين,0,0,ابراهيم محمد احمد الامين باشا,0,0,فتحي رجب الامين اعبيدات,0,0,رجب سعد محمد علي بن يحمد,0,0,محمد احمد علي الامين باشا,0,0,الناصر علي الشامسي الشامسي,0,0,محمد علي عبدالله امدور امومن,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,64,0,0.0,ابراهيم محمد صالح ابراهيم الحاج علي,0,0,محمد ادم محمد لينو,0,0,محمد محمد عثمان عثمان,0,0,عبدالقادر صالح عبدالكريم بن عبيد,0,0,منير النور السبتي السبتي,0,0,شاكر الدردير ابراهيم علوه,0,0,ابوبكر محمد محمد التارقي,0,0,محمد وردكو انر يحى,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,34,0,0.0,فرحات محمد عبدالله حمزة,0,0,ابراهيم المهدي احمد الصوفي,0,0,محمد منصور سعيد شكره,0,0,محمد ابراهيم اسماعيل تامر,0,0,عبدالقادر عبدالله محمد جبريل,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,30,0,0.0,عبدالله الامين عبدالله الجنيدي,0,0,محمد عبدالنبي بقي بقي,0,0,عبدالله عبدالسلام سالم الطاهر,0,0,عبدالسلام علي ابراهيم صفور,0,0,المهدي مسعود حسين الاعور,0,0,حمد محمد امحمد طاهر,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,32,0,0.0,عبدالسلام منصور علي الشنيبات,0,0,عبدالسلام صالح عبدالسلام الضب,0,0,حسن عبدالسلام علي عمران,0,0,محمد احميد صالح زيدان,0,0,محمد البغدادي بريش البغدادي,0,0,عبدالحفيظ ابوزيد احمد عبدالغني,0,0,ابوبكر احمد محمد الشريف,0,0,احميد حمد علي حومه,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,40,0,0.0,مولى الزروق ابراهيم قرصدى,0,0,حسين احمد الرشيد احمد,0,0,احمد بركة سيدى محمد,0,0,صالح قلمه يسكو دركوي,0,0,المهدي ورضمي الامين قدينو,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,105,76,72.0,سليمان عمر محمد الحراري,1267,1267,صلاح علي الشيباني زوبيك,767,767,نعيم محمد علي عبدالرحمن,678,678,توفيق حسين شعبان ابوزيد,541,541,عبدالونيس مهدب احمد حفاف,490,490,كمال عبدالمجيد محمد سالم,484,484,عبدالخالق محمد بلعيد الدايخ,474,474,يوسف محمد العجيلي ابوشاقور,463,463,خالد مصباح سالم عبادي,437,437,عبدالواحد جمعة محمد قداره,375,375,فتحي العربي ابراهيم يوسف,363,363,وحيد محمد عبدالجليل برشان,330,330,خليفة عبدالله خليفة حسن,312,312,عادل احمد عمر فرج,275,275,السنوسي عمر محمد سعيد,273,273,عاشور عبدالله عمر سويسي,226,226,احمد جمعة علي طروم,212,212,صالح مصباح صالح الشتيوي,180,180,محمد مفتاح محمد الرزاقي,178,178,محمود توفيق عبدالسلام امحمد,172,172,محمد جمعة بلعيد الطويل,138,138,محمد احميد محمد الرطيل,137,137,محمد خليفة علي سويسي,122,122,وجدي خليفة عبدالسلام سالم,87,87,عبدالمجيد زيدان انطاط الشريف,85,85,يونس ابوعبدالله المصري المصري,65,65,عبدالسلام صالح عبدالسلام عبدالرسول,65,65,نجيب محمد عمر الباجي,47,47,منصور عبدالكريم رمضان الطير,47,47,طارق عبدالسلام العجيلي وزيرة,43,43,نصرالدين عبدالسلام سعد حسين,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,44,0,0.0,عبدالوهاب عمر خليفة زولية,0,0,هشام البشير علي المقطوف,0,0,موسى عبدالله محمد بقر,0,0,عبدالحميد امحمد المهدي بلقاسم,0,0,الصديق عثمان احمد الساعدي,0,0,موسى محمد محمد زنين,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,40,0,0.0,اكرم عيسى عمر خليفة,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,49,9,18.0,طارق ابوبكر امحمد ابوهيسة,2712,2712,عادل عبدالسلام ميلاد ابورقيقة,1,1,جمعة محمد التومي محمد الوحيشي,1,1,موسى الهادي احمد سالم,1,1,مصباح عبدالسلام سالم احمد,0,0,خالد عبدالواحد احمد الشماخي,0,0,اسامة احمد سعيد الكشريو,0,0,جويد عبدالقادر محمد سالم,0,0,محمد ابراهيم محمد سعيد,0,0,مسعود عيسى محمد العرضاوي,0,0,محمد سالم سعيد العجيلي,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,36,0,0.0,فاتح احمد محمد ابو الطويرات,0,0,امحمد المبروك سالم السعدي,0,0,سالم علي خليفة القمودي,0,0,ناصر محمد علي الدحنوس,0,0,ابراهيم سالم ابوالقاسم الشيباني,0,0,عمر سالم امحمد العربي,0,0,عادل علي محمد سالم,0,0,عبدالكريم ابوبكر ابراهيم المزوغي,0,0,عبدالباسط محمد محمد طابون,0,0,مصطفى امحمد محمد عبدالكريم,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,34,0,0.0,احمد العابد خليفة عبدالله,0,0,ساسي عمران ساسي شوشان,0,0,محمد سعدالله احمد محمد,0,0,محمد احمد امحمد نيقرو,0,0,حسين احمد احميد خليفة,0,0,عبدالله الكيلاني جمعة الواعر,0,0,علي امبارك محمد جعاط,0,0,مصطفى خليفة علي محمد,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
