25,30,30,100.0,ارحومة عمر جبريل ارحومة,579,ابراهيم عبدالهادي رمضان الواكدي,186,عمر محمد ابراهيم ميلاد,114,ابراهيم ضو ابراهيم الصالحين,112,عمر ابوالقاسم احمد عمر الرويق,92,الحسين عبدالسلام المختار محمد كوره,66,علي سعد امبارك الابتر,63,سالم المبروك فرج علي,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,46,19,41.0,جمعة احمد علي دله,4,عبدالسلام عثمان علي سعيد,0,عبدالحفيظ عبدالله عبدالحفيظ النظيف,0,عبدالسلام ابوبكر محمد التامزوي,0,حسني عبدالباقي محمد عمر صالح,0,عبدالسلام سعود حمتون علي,0,عبدالسلام حمزة ميهوب عمر,0,اسامة عبدالسلام محمد صالح,0,سالمة عادل ابا على شها,0,عبدالسلام السنوسى محمد صالح ابوبكر,0,احمد عبدالقادر عبدالله البخاري,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,34,20,58.0,عبدالقادر اويس تامر الاخضر,1,يونس فرج عبدالسلام العربي,0,ابوالقاسم علي عبدالقادر القومناي,0,عمر عبدالقادر محمد ارياس,0,عمر عبدالرحمن ابوبكر ابراهيم يوسف,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,41,20,48.0,الجيلاني عبدالسلام ارحومة ارحومة,1,مسعود سعيد مسعود خيرات,1,الزين العربي محمد العربي الدردير,0,الطاهر المهدي المهدي النغنوغي,0,احمد سليمان محمد الصالح,0,سالم على محمد اسريز,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,46,20,43.0,محمد عبدالله عبدالسلام لاغا,4,محي الدين حسين محمد ابو الخيرات,1,علي احمد محمد صالح كتي,1,العربي محمد كاتي الحبيب,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,33,20,60.0,عبدالعزيز محمد احمد سعد انشي,1,علي هاشم منصور احمد,1,ابراهيم المهدي محمد كيلاني,1,عبدالكريم محمد صالح السعيدي,0,ابراهيم عبدالوهاب النور عبدالوهاب,0,عبدالسلام الحاج حسن محمدين كرمي,0,عمر ابراهيم عبدالوهاب عبدالوهاب,0,علي ابراهيم علي الحاج علي,0,علي ابوبكر محمد ليلى,0,محمد ابراهيم حسن كرمي,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,60,20,33.0,يوسف محمد عبدالسلام الشريف,4,امحمد ابوزيد احمد عبدالغني,4,علي محمد حامد عمر,1,ابوالقاسم علي احمد حسن,1,رافع على بشير الشريف,0,محمد حسن الطاهر قاجي,0,احمد ساسى علي بكوري,0,يحي علي الصالح بكوري,0,احميد سليمان مصطفى الهادي,0,عبدالرحمن احمد صالح محمد,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,36,36,100.0,خالد عبدالقادر عبدالله التواتي,609,محمد رمضان سيدي عمر سيدي الشيخ الهاشى,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,45,45,100.0,ابوالقاسم بشير قاسم يوشع,1643,محمد المبروك عبدالرحمن الاكحل,1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,142,137,96.0,مراجع علي نوح قاسم,3269,حمزة عبدربه حماد سليمان,1867,شريف الجالي الشريف سليمان,1821,فضيل محمود مختار عثمان,1763,عبدالقادر عبدالعالي جادالله عبدالرحيم,982,نصر جاب الله التهامي جلغاف,823,فرج عبدالسلام محمد الابعج,584,سعد بشير مفتاح الرفادي,562,علاءالدين ادريس الشريف اسبيق,439,عماد خالد عبدالنبي حمد,327,حمزة عمر الصابر عوض,267,فرج ادم علي بوعطيوة,248,سعد فرج محمد سلطان,182,ابوبكر ابراهيم بوبكر ادريس,161,نصر ابراهيم عبدالحفيظ بونعامه,159,علي حسن عوض احسين,133,عبدالمولي رشيد الميار بوشيحة,125,ربيع ونيس عكوش ادريس,106,سليمان عبدالقادر حامد المغربي,84,اكرم ياسين محمد رجب,80,عبدالسلام مفتاح عمران حسين,70,علي الطايع عبدالجواد حبيب,39,محمد صالح حامد اعبيد,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
